2010-05-03,27,3
2010-05-04,9,1
2010-05-06,70,127
2010-05-07,97,20
2010-05-08,108,1
2010-05-09,68,8
2010-05-10,207,3
2010-05-15,31,0
2010-05-16,180,13
2010-05-17,47,16
2010-05-21,2,18
2010-05-23,151,4
2010-05-24,2,3
2010-05-25,0,2
2010-05-31,23,1
2010-06-02,24,10
2010-06-04,1265,21
2010-06-05,2170,159
2010-06-06,29,43
2010-06-07,4106,532
2010-06-08,2889,690
2010-06-10,8,6
2010-06-22,60,0
2010-06-24,4,4
2010-06-29,0,1
2010-07-04,1,0
2010-07-08,57,9
2010-07-14,275,1
2010-07-18,0,1
2010-08-04,60,22
2010-08-06,647,6
2010-08-08,269,434
2010-08-09,1,1
2010-08-10,151,7
2010-08-11,932,41
2010-08-13,31,89
2010-08-17,11,0
2010-08-22,3,7
2010-08-23,14,2
2010-08-24,0,1
2010-08-25,0,1
2010-08-27,123,2
2010-08-28,183,3
2010-08-29,0,1
2010-08-30,437,29
2010-09-07,816,0
2010-09-08,627,2
2010-09-09,9,3
2010-09-11,0,1
2010-09-12,1723,1729
2010-09-15,434,58
2010-09-18,966,0
2010-09-20,123,4
2010-09-22,0,2
2010-09-25,0,1
2010-09-26,31,0
2010-09-27,430,0
2010-09-30,71,2
2010-10-04,0,1
2010-10-06,0,3
2010-10-09,1,0
2010-10-10,123,33
2010-10-12,112,85
2010-10-13,4,0
2010-10-14,20,9
2010-10-15,11,0
2010-10-16,41,1
2010-10-17,24,0
2010-10-20,0,1
2010-10-21,1,0
2010-10-24,0,1
2010-10-25,145,1
2010-10-29,0,1
2010-11-01,3556,5
2010-11-02,874,69
2010-11-04,190,76
2010-11-05,783,867
2010-11-06,84,15
2010-11-08,20,60
2010-11-09,39,7
2010-11-10,86,32
2010-11-11,141,36
2010-11-12,24,11
2010-11-13,941,17
2010-11-14,298,37
2010-11-15,6,0
2010-11-16,315,77
2010-11-17,149,76
2010-11-18,18,12
2010-11-19,30,11
2010-11-20,17,4
2010-11-23,104,73
2010-11-24,0,1
2010-11-27,7,2
2010-11-29,10,0
2010-12-07,6177,23
2010-12-08,0,15
2010-12-13,593,33
2010-12-14,118,4
2010-12-15,89,0
2010-12-16,14,12
2010-12-17,1030,113
2010-12-18,3313,48
2010-12-20,51,31
2010-12-23,486,2
2010-12-24,0,6
2010-12-29,38,30
2010-12-30,23,3
2010-12-31,552,25
2011-01-01,512,62
2011-01-02,2162,92
2011-01-05,0,2
2011-01-10,3,14
2011-01-12,7,2
2011-01-22,1,0
2011-01-23,27,0
2011-01-27,401,53
2011-01-28,1281,15
2011-01-30,273,3
2011-02-01,2280,57
2011-02-02,65,20
2011-02-03,64,2
2011-02-05,112,36
2011-02-06,0,4
2011-02-07,0,1
2011-02-09,207,65
2011-02-10,5,2
2011-02-11,160,31
2011-02-28,55,0
2011-03-01,122,8
2011-03-02,0,1
2011-03-03,86,20
2011-03-05,311,17
2011-03-20,9,0
2011-03-21,126,2
2011-03-28,484,0
2011-03-29,0,1
2011-04-03,555,0
2011-04-11,867,228
2011-04-12,2649,638
2011-04-14,58,19
2011-04-17,1049,115
2011-05-01,344,269
2011-05-05,887,1328
2011-05-06,1255,630
2011-05-07,694,427
2011-05-08,155,0
2011-05-09,1314,380
2011-05-10,626,785
2011-05-11,1843,639
2011-05-12,960,177
2011-05-13,13,466
2011-05-14,23,6
2011-05-15,2,3
2011-05-17,38,39
2011-05-19,334,158
2011-05-24,624,231
2011-05-28,258,56
2011-06-09,503,3
2011-06-10,0,2
2011-06-12,329,117
2011-06-13,142,4
2011-06-14,10,2
2011-06-15,5,2
2011-06-16,8,7
2011-06-18,963,582
2011-06-19,51,14
2011-06-20,683,50
2011-06-22,2,111
2011-06-23,34,11
2011-06-25,64,130
2011-06-27,911,150
2011-06-28,287,17
2011-06-29,977,93
2011-06-30,3050,156
2011-07-01,2197,265
2011-07-02,33,44
2011-07-03,130,22
2011-07-04,2955,540
2011-07-05,3618,239
2011-07-06,1751,176
2011-07-07,854,108
2011-07-08,637,92
2011-07-09,831,901
2011-07-11,52,15
2011-07-12,248,0
2011-07-13,60,3
2011-07-15,28,6
2011-07-18,281,1
2011-07-19,170,51
2011-07-20,1,0
2011-07-27,149,16
2011-07-31,130,17
2011-08-02,858,232
2011-08-03,549,2
2011-08-04,93,0
2011-08-05,5903,77
2011-08-06,1909,7
2011-08-07,5032,23
2011-08-08,1735,59
2011-08-09,22,4
2011-08-10,50,1
2011-08-11,2918,70
2011-08-12,2614,15
2011-08-14,1259,2
2011-08-15,2463,236
2011-08-16,37,3
2011-08-17,1094,98
2011-08-18,335,8
2011-08-19,80,44
2011-08-24,2,3
2011-08-25,147,13
2011-08-26,51,13
2011-08-28,352,45
2011-08-30,29,7
2011-08-31,14,12
2011-09-01,6,15
2011-09-11,0,3
2011-09-13,2,3
2011-09-14,1,0
2011-09-15,20,1
2011-09-17,110,0
2011-09-19,10,0
2011-09-20,1123,44222
2011-09-22,19,0
2011-09-25,671,5
2011-09-26,869,48
2011-09-27,5,16
2011-09-30,308,260
2011-10-02,0,1
2011-10-04,1,0
2011-10-07,4,0
2011-10-08,3,0
2011-10-09,326,64
2011-10-10,686,4
2011-10-12,6,7
2011-10-14,1059,35
2011-10-18,347,2
2011-10-19,966,22
2011-10-23,41,2
2011-10-24,0,1
2011-10-26,409,874
2011-10-29,3,3
2011-10-30,952,8
2011-10-31,558,31
2011-11-01,1,1
2011-11-02,380,328
2011-11-03,1493,240
2011-11-04,133,18
2011-11-05,928,249
2011-11-06,1589,236
2011-11-09,886,187
2011-11-10,908,227
2011-11-11,1008,512
2011-11-12,38,14
2011-11-13,540,41
2011-11-14,24,30
2011-11-16,0,1
2011-11-17,39,36
2011-11-19,28,146
2011-11-20,188,199
2011-11-21,22,146
2011-11-22,4210,29
2011-11-23,260,52
2011-11-25,11,1
2011-11-26,2507,239
2011-11-27,895,2
2011-11-28,832,182
2011-11-29,890,207
2011-11-30,257,17
2011-12-01,307,67
2011-12-03,2,1
2011-12-06,2,0
2011-12-09,476,26
2011-12-13,817,4
2011-12-14,0,1
2011-12-15,229,86
2011-12-16,100,3
2011-12-18,60,11
2011-12-20,185,9
2011-12-21,2,0
2011-12-26,100,55
2011-12-27,0,1
2011-12-29,29,7
2011-12-30,1,0
2012-01-05,0,35
2012-01-08,135,1
2012-01-09,2,3
2012-01-11,1,6
2012-01-17,56,82
2012-01-18,242,17
2012-01-19,356,228
2012-01-21,9,1
2012-01-25,21,0
2012-01-26,4,0
2012-01-27,2,3
2012-01-29,53,1
2012-01-30,320,29
2012-02-02,778,20
2012-02-03,6,225
2012-02-04,6,2
2012-02-05,0,23
2012-02-06,0,1
2012-02-07,410,13
2012-02-08,20,5
2012-02-09,0,1
2012-02-11,797,2
2012-02-14,28,18
2012-02-15,6,303
2012-02-16,518,32
2012-02-18,134,0
2012-02-19,8,2
2012-02-21,16,0
2012-02-24,25,191
2012-02-25,44,0
2012-02-27,1,1
2012-02-28,112,24
2012-03-01,72,9
2012-03-02,853,18
2012-03-03,654,200
2012-03-04,3646,46
2012-03-08,4,1
2012-03-09,2540,18
2012-03-11,2525,1
2012-03-15,2177,22
2012-03-16,27,0
2012-03-17,194,1
2012-03-18,1250,217
2012-03-19,58,0
2012-03-20,1305,39
2012-03-21,88,23
2012-03-22,20,23
2012-03-26,74,2
2012-03-31,53,48
2012-04-06,0,1
2012-04-07,216,0
2012-04-08,44,2
2012-04-09,73,1
2012-04-15,296,245
2012-04-20,12,5
2012-04-22,2,0
2012-04-23,1,3
2012-04-24,0,3
2012-04-25,34,4
2012-04-26,46,16
2012-04-30,29,0
2012-05-02,314,19
2012-05-03,121,17
2012-05-05,276,9
2012-05-06,857,45
2012-05-08,0,1
2012-05-10,1249,36
2012-05-11,10,5
2012-05-12,47,14
2012-05-13,68,287
2012-05-14,273,132
2012-05-15,104,138
2012-05-18,153,0
2012-05-19,1,0
2012-05-20,49,191
2012-05-21,23,4
2012-05-22,0,1
2012-05-23,24,4
2012-05-24,5,22
2012-05-25,27,3
2012-05-27,836,101
2012-05-28,134,6
2012-05-29,80,2
2012-06-01,460,5
2012-06-02,209,4
2012-06-03,514,14
2012-06-04,169,304
2012-06-05,90,1415
2012-06-06,0,78
2012-06-07,156,1417
2012-06-08,0,371
